mutant_id	class	path	line	oracle_a	oracle_b	oracle_c	checks_killed	killed_ids
data_corrupted#013	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_8,DUAL-count_9,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_8,FRZ-count_9,FRZ-p_value
data_corrupted#014	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_3,DUAL-count_4,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_3,FRZ-count_4,FRZ-p_value
data_corrupted#015	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_6,DUAL-count_7,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_6,FRZ-count_7,FRZ-p_value
data_corrupted#016	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_6,DUAL-count_7,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_6,FRZ-count_7,FRZ-p_value
data_corrupted#017	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_5,DUAL-count_6,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_5,FRZ-count_6,FRZ-p_value
data_corrupted#018	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_0,DUAL-count_9,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_0,FRZ-count_9,FRZ-p_value
data_corrupted#019	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_4,DUAL-count_5,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_4,FRZ-count_5,FRZ-p_value
data_corrupted#020	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_0,DUAL-count_9,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_0,FRZ-count_9,FRZ-p_value
data_corrupted#021	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	18	DUAL-chi_square,DUAL-count_0,DUAL-count_1,DUAL-digits,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-matches-data,FRZ-chi_square,FRZ-count_0,FRZ-count_1,FRZ-largest_count,FRZ-p_value,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z
data_corrupted#022	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_5,DUAL-count_6,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_5,FRZ-count_6,FRZ-p_value
data_corrupted#023	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_8,DUAL-count_9,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_8,FRZ-count_9,FRZ-p_value
data_corrupted#024	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_5,DUAL-count_6,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_5,FRZ-count_6,FRZ-p_value
data_corrupted#025	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_3,DUAL-count_4,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_3,FRZ-count_4,FRZ-p_value
data_corrupted#026	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_8,DUAL-count_9,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_8,FRZ-count_9,FRZ-p_value
data_corrupted#027	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	6	DUAL-count_2,DUAL-count_3,DUAL-digits,FIG-matches-data,FRZ-count_2,FRZ-count_3
data_corrupted#028	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	10	DUAL-chi_square,DUAL-count_6,DUAL-count_7,DUAL-digits,DUAL-p_value,FIG-matches-data,FRZ-chi_square,FRZ-count_6,FRZ-count_7,FRZ-p_value
data_corrupted#029	data_corrupted	src/data_path_a_spigot.py	38	1	0	1	18	DUAL-chi_square,DUAL-count_1,DUAL-count_2,DUAL-digits,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-matches-data,FRZ-chi_square,FRZ-count_1,FRZ-count_2,FRZ-largest_count,FRZ-p_value,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z
data_truncated#000	data_truncated	src/data_path_a_spigot.py	38	1	0	1	91	CIT-agrees-a,CIT-agrees-b,CIT-consumed-PI_FIRST_100_DECIMALS,CIT-identifier-PI_FIRST_100_DECIMALS,CIT-record-PI_FIRST_100_DECIMALS,CIT-single-source-of-truth,COV-orphan-numbers,COV-sections-exist,DUAL-chi_square,DUAL-count_0,DUAL-count_1,DUAL-count_2,DUAL-count_3,DUAL-count_4,DUAL-count_5,DUAL-count_6,DUAL-count_7,DUAL-count_8,DUAL-count_9,DUAL-degrees_of_freedom,DUAL-degrees_of_freedom_result,DUAL-digits,DUAL-erfc-range,DUAL-expected_count,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-labels-counts,FIG-matches-data,FIG-present,FIG-referenced,FM-author-CITATION.bib,FM-author-README.md,FM-author-paper.md,FM-citation-key,FM-doi-policy,FM-title-CITATION.bib,FM-title-README.md,FM-title-paper.md,FM-year-CITATION.bib,FM-year-README.md,FM-year-paper.md,FRZ-alpha,FRZ-chi_square,FRZ-count_0,FRZ-count_1,FRZ-count_2,FRZ-count_3,FRZ-count_4,FRZ-count_5,FRZ-count_6,FRZ-count_7,FRZ-count_8,FRZ-count_9,FRZ-degrees_of_freedom,FRZ-degrees_of_freedom_result,FRZ-expected_count,FRZ-largest_count,FRZ-max_checks_killed,FRZ-min_checks_killed,FRZ-n_categories_null,FRZ-n_categories_q,FRZ-n_checks,FRZ-n_digits_data,FRZ-n_digits_limits,FRZ-n_digits_q,FRZ-n_mutants,FRZ-n_reference_digits,FRZ-p_value,FRZ-post_hoc_comparisons,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z,INV-len-a,MAP-covers-checks,MAP-covers-paper,MAP-present,META-check-count,MUT-all-mutants-killed,MUT-report-parses,MUT-report-present,MUT-study-nonempty,PHR-CITATION.bib,PHR-README.md,PHR-list-nonempty,PHR-mutation_report.md,PHR-paper.md,PHR-references.bib,SPLIT-no-hardcoded-results
data_truncated#001	data_truncated	src/data_path_a_spigot.py	38	1	0	1	91	CIT-agrees-a,CIT-agrees-b,CIT-consumed-PI_FIRST_100_DECIMALS,CIT-identifier-PI_FIRST_100_DECIMALS,CIT-record-PI_FIRST_100_DECIMALS,CIT-single-source-of-truth,COV-orphan-numbers,COV-sections-exist,DUAL-chi_square,DUAL-count_0,DUAL-count_1,DUAL-count_2,DUAL-count_3,DUAL-count_4,DUAL-count_5,DUAL-count_6,DUAL-count_7,DUAL-count_8,DUAL-count_9,DUAL-degrees_of_freedom,DUAL-degrees_of_freedom_result,DUAL-digits,DUAL-erfc-range,DUAL-expected_count,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-labels-counts,FIG-matches-data,FIG-present,FIG-referenced,FM-author-CITATION.bib,FM-author-README.md,FM-author-paper.md,FM-citation-key,FM-doi-policy,FM-title-CITATION.bib,FM-title-README.md,FM-title-paper.md,FM-year-CITATION.bib,FM-year-README.md,FM-year-paper.md,FRZ-alpha,FRZ-chi_square,FRZ-count_0,FRZ-count_1,FRZ-count_2,FRZ-count_3,FRZ-count_4,FRZ-count_5,FRZ-count_6,FRZ-count_7,FRZ-count_8,FRZ-count_9,FRZ-degrees_of_freedom,FRZ-degrees_of_freedom_result,FRZ-expected_count,FRZ-largest_count,FRZ-max_checks_killed,FRZ-min_checks_killed,FRZ-n_categories_null,FRZ-n_categories_q,FRZ-n_checks,FRZ-n_digits_data,FRZ-n_digits_limits,FRZ-n_digits_q,FRZ-n_mutants,FRZ-n_reference_digits,FRZ-p_value,FRZ-post_hoc_comparisons,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z,INV-len-a,MAP-covers-checks,MAP-covers-paper,MAP-present,META-check-count,MUT-all-mutants-killed,MUT-report-parses,MUT-report-present,MUT-study-nonempty,PHR-CITATION.bib,PHR-README.md,PHR-list-nonempty,PHR-mutation_report.md,PHR-paper.md,PHR-references.bib,SPLIT-no-hardcoded-results
data_truncated#002	data_truncated	src/data_path_b_machin.py	38	1	0	0	91	CIT-agrees-a,CIT-agrees-b,CIT-consumed-PI_FIRST_100_DECIMALS,CIT-identifier-PI_FIRST_100_DECIMALS,CIT-record-PI_FIRST_100_DECIMALS,CIT-single-source-of-truth,COV-orphan-numbers,COV-sections-exist,DUAL-chi_square,DUAL-count_0,DUAL-count_1,DUAL-count_2,DUAL-count_3,DUAL-count_4,DUAL-count_5,DUAL-count_6,DUAL-count_7,DUAL-count_8,DUAL-count_9,DUAL-degrees_of_freedom,DUAL-degrees_of_freedom_result,DUAL-digits,DUAL-erfc-range,DUAL-expected_count,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-labels-counts,FIG-matches-data,FIG-present,FIG-referenced,FM-author-CITATION.bib,FM-author-README.md,FM-author-paper.md,FM-citation-key,FM-doi-policy,FM-title-CITATION.bib,FM-title-README.md,FM-title-paper.md,FM-year-CITATION.bib,FM-year-README.md,FM-year-paper.md,FRZ-alpha,FRZ-chi_square,FRZ-count_0,FRZ-count_1,FRZ-count_2,FRZ-count_3,FRZ-count_4,FRZ-count_5,FRZ-count_6,FRZ-count_7,FRZ-count_8,FRZ-count_9,FRZ-degrees_of_freedom,FRZ-degrees_of_freedom_result,FRZ-expected_count,FRZ-largest_count,FRZ-max_checks_killed,FRZ-min_checks_killed,FRZ-n_categories_null,FRZ-n_categories_q,FRZ-n_checks,FRZ-n_digits_data,FRZ-n_digits_limits,FRZ-n_digits_q,FRZ-n_mutants,FRZ-n_reference_digits,FRZ-p_value,FRZ-post_hoc_comparisons,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z,INV-len-b,MAP-covers-checks,MAP-covers-paper,MAP-present,META-check-count,MUT-all-mutants-killed,MUT-report-parses,MUT-report-present,MUT-study-nonempty,PHR-CITATION.bib,PHR-README.md,PHR-list-nonempty,PHR-mutation_report.md,PHR-paper.md,PHR-references.bib,SPLIT-no-hardcoded-results
data_truncated#003	data_truncated	src/data_path_b_machin.py	38	1	0	0	91	CIT-agrees-a,CIT-agrees-b,CIT-consumed-PI_FIRST_100_DECIMALS,CIT-identifier-PI_FIRST_100_DECIMALS,CIT-record-PI_FIRST_100_DECIMALS,CIT-single-source-of-truth,COV-orphan-numbers,COV-sections-exist,DUAL-chi_square,DUAL-count_0,DUAL-count_1,DUAL-count_2,DUAL-count_3,DUAL-count_4,DUAL-count_5,DUAL-count_6,DUAL-count_7,DUAL-count_8,DUAL-count_9,DUAL-degrees_of_freedom,DUAL-degrees_of_freedom_result,DUAL-digits,DUAL-erfc-range,DUAL-expected_count,DUAL-largest_count,DUAL-p_value,DUAL-post_hoc_p,DUAL-post_hoc_p_adjusted,DUAL-post_hoc_z,FIG-labels-counts,FIG-matches-data,FIG-present,FIG-referenced,FM-author-CITATION.bib,FM-author-README.md,FM-author-paper.md,FM-citation-key,FM-doi-policy,FM-title-CITATION.bib,FM-title-README.md,FM-title-paper.md,FM-year-CITATION.bib,FM-year-README.md,FM-year-paper.md,FRZ-alpha,FRZ-chi_square,FRZ-count_0,FRZ-count_1,FRZ-count_2,FRZ-count_3,FRZ-count_4,FRZ-count_5,FRZ-count_6,FRZ-count_7,FRZ-count_8,FRZ-count_9,FRZ-degrees_of_freedom,FRZ-degrees_of_freedom_result,FRZ-expected_count,FRZ-largest_count,FRZ-max_checks_killed,FRZ-min_checks_killed,FRZ-n_categories_null,FRZ-n_categories_q,FRZ-n_checks,FRZ-n_digits_data,FRZ-n_digits_limits,FRZ-n_digits_q,FRZ-n_mutants,FRZ-n_reference_digits,FRZ-p_value,FRZ-post_hoc_comparisons,FRZ-post_hoc_p,FRZ-post_hoc_p_adjusted,FRZ-post_hoc_z,INV-len-b,MAP-covers-checks,MAP-covers-paper,MAP-present,META-check-count,MUT-all-mutants-killed,MUT-report-parses,MUT-report-present,MUT-study-nonempty,PHR-CITATION.bib,PHR-README.md,PHR-list-nonempty,PHR-mutation_report.md,PHR-paper.md,PHR-references.bib,SPLIT-no-hardcoded-results
derivation_written_by_hand#000	derivation_written_by_hand	src/stats_path_a_series.py	43	1	0	0	1	SPLIT-no-hardcoded-results
derivation_written_by_hand#001	derivation_written_by_hand	src/stats_path_b_exact.py	50	0	0	0	0	
derivation_written_by_hand#002	derivation_written_by_hand	src/stats_path_a_series.py	66	1	0	0	1	SPLIT-no-hardcoded-results
derivation_written_by_hand#003	derivation_written_by_hand	src/stats_path_b_exact.py	68	1	0	0	1	SPLIT-no-hardcoded-results
derivation_written_by_hand#004	derivation_written_by_hand	src/stats_path_a_series.py	81	1	0	0	1	SPLIT-no-hardcoded-results
derivation_written_by_hand#005	derivation_written_by_hand	src/stats_path_a_series.py	91	1	0	0	1	SPLIT-no-hardcoded-results
derivation_written_by_hand#006	derivation_written_by_hand	src/frozen_claims.py	174	0	0	0	0	
derivation_written_by_hand#007	derivation_written_by_hand	src/frozen_claims.py	173	0	0	0	0	
derivation_written_by_hand#008	derivation_written_by_hand	src/stats_path_a_series.py	33	1	0	0	1	SPLIT-no-hardcoded-results
derivation_written_by_hand#009	derivation_written_by_hand	src/stats_path_b_exact.py	35	1	0	0	1	SPLIT-no-hardcoded-results
figure_gone_stale#000	figure_gone_stale	figures/digit_frequencies.svg	5	1	0	1	1	FIG-matches-data
figure_gone_stale#001	figure_gone_stale	figures/digit_frequencies.svg	7	1	0	1	1	FIG-matches-data
figure_gone_stale#002	figure_gone_stale	figures/digit_frequencies.svg	9	1	0	1	1	FIG-matches-data
figure_gone_stale#003	figure_gone_stale	figures/digit_frequencies.svg	11	1	0	1	1	FIG-matches-data
figure_gone_stale#004	figure_gone_stale	figures/digit_frequencies.svg	13	1	0	1	1	FIG-matches-data
figure_gone_stale#005	figure_gone_stale	figures/digit_frequencies.svg	15	1	0	1	1	FIG-matches-data
figure_gone_stale#006	figure_gone_stale	figures/digit_frequencies.svg	17	1	0	1	1	FIG-matches-data
figure_gone_stale#007	figure_gone_stale	figures/digit_frequencies.svg	18	1	0	1	1	FIG-matches-data
figure_gone_stale#008	figure_gone_stale	figures/digit_frequencies.svg	20	1	0	1	2	FIG-labels-counts,FIG-matches-data
figure_gone_stale#009	figure_gone_stale	figures/digit_frequencies.svg	21	1	0	1	1	FIG-matches-data
figure_gone_stale#010	figure_gone_stale	figures/digit_frequencies.svg	23	1	0	1	1	FIG-matches-data
figure_gone_stale#011	figure_gone_stale	figures/digit_frequencies.svg	24	1	0	1	1	FIG-matches-data
figure_gone_stale#012	figure_gone_stale	figures/digit_frequencies.svg	26	1	0	1	2	FIG-labels-counts,FIG-matches-data
figure_gone_stale#013	figure_gone_stale	figures/digit_frequencies.svg	27	1	0	1	1	FIG-matches-data
figure_gone_stale#014	figure_gone_stale	figures/digit_frequencies.svg	29	1	0	1	1	FIG-matches-data
figure_gone_stale#015	figure_gone_stale	figures/digit_frequencies.svg	30	1	0	1	1	FIG-matches-data
figure_gone_stale#016	figure_gone_stale	figures/digit_frequencies.svg	32	1	0	1	2	FIG-labels-counts,FIG-matches-data
figure_gone_stale#017	figure_gone_stale	figures/digit_frequencies.svg	33	1	0	1	1	FIG-matches-data
figure_gone_stale#018	figure_gone_stale	figures/digit_frequencies.svg	35	1	0	1	2	FIG-labels-counts,FIG-matches-data
figure_gone_stale#019	figure_gone_stale	figures/digit_frequencies.svg	36	1	0	1	1	FIG-matches-data
figure_gone_stale#020	figure_gone_stale	figures/digit_frequencies.svg	38	1	0	1	1	FIG-matches-data
figure_gone_stale#021	figure_gone_stale	figures/digit_frequencies.svg	39	1	0	1	1	FIG-matches-data
figure_gone_stale#022	figure_gone_stale	figures/digit_frequencies.svg	41	1	0	1	1	FIG-matches-data
figure_gone_stale#023	figure_gone_stale	figures/digit_frequencies.svg	42	1	0	1	1	FIG-matches-data
figure_gone_stale#024	figure_gone_stale	figures/digit_frequencies.svg	44	1	0	1	1	FIG-matches-data
figure_gone_stale#025	figure_gone_stale	figures/digit_frequencies.svg	45	1	0	1	1	FIG-matches-data
figure_gone_stale#026	figure_gone_stale	figures/digit_frequencies.svg	47	1	0	1	1	FIG-matches-data
figure_governing_number#000	figure_governing_number	src/figure.py	13	1	0	1	1	FIG-matches-data
figure_governing_number#001	figure_governing_number	src/figure.py	14	1	0	1	1	FIG-matches-data
figure_governing_number#002	figure_governing_number	src/figure.py	15	1	0	1	1	FIG-matches-data
figure_governing_number#003	figure_governing_number	src/figure.py	16	1	0	1	1	FIG-matches-data
figure_governing_number#004	figure_governing_number	src/figure.py	17	1	0	1	1	FIG-matches-data
figure_governing_number#005	figure_governing_number	src/figure.py	18	1	0	1	1	FIG-matches-data
figure_governing_number#006	figure_governing_number	src/figure.py	22	1	0	1	1	FIG-matches-data
figure_governing_number#007	figure_governing_number	src/figure.py	23	1	0	1	1	FIG-matches-data
forbidden_phrase#000	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#001	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#002	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#003	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#004	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#005	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#006	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#007	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#008	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#009	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#010	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#011	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#012	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#013	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#014	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#015	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#016	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#017	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#018	forbidden_phrase	paper.md	172	1	0	0	1	PHR-paper.md
forbidden_phrase#019	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#020	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#021	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#022	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#023	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#024	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#025	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#026	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#027	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#028	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#029	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#030	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#031	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#032	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#033	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#034	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#035	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
forbidden_phrase#036	forbidden_phrase	README.md	196	1	0	0	1	PHR-README.md
